,Cosine
0,0.47863080054825974
1,0.4699768082270249
2,0.4809803208877653
3,0.48734615499161144
4,0.47499707976544736
5,0.47397218050870343
6,0.47355633125346
7,0.45375029146505413
8,0.4367728475960301
9,0.44526883776617826
10,0.44459518430564016
11,0.4492373741466912
12,0.4446908271533519
13,0.42133055722662976
0,0.448086852083437
1,0.45921926063374857
2,0.4671465904675259
3,0.4982496103257684
4,0.47784266842569745
5,0.47256500258420236
6,0.46232768244603295
7,0.4591291361731385
8,0.4355764569767253
9,0.41920093584743384
10,0.43079345492376947
11,0.4315291739555013
12,0.44972439953263516
13,0.4021429381195664
0,0.47863080054825974
1,0.4699768082270249
2,0.4809803208877653
3,0.48734615499161144
4,0.47499707976544736
5,0.47397218050870343
6,0.47355633125346
7,0.45375029146505413
8,0.4367728475960301
9,0.44526883776617826
10,0.44459518430564016
11,0.4492373741466912
12,0.4446908271533519
13,0.42133055722662976
0,0.448086852083437
1,0.45921926063374857
2,0.4671465904675259
3,0.4982496103257684
4,0.47784266842569745
5,0.47256500258420236
6,0.46232768244603295
7,0.4591291361731385
8,0.4355764569767253
9,0.41920093584743384
10,0.43079345492376947
11,0.4315291739555013
12,0.44972439953263516
13,0.4021429381195664
0,0.47863080054825974
1,0.4699768082270249
2,0.4809803208877653
3,0.48734615499161144
4,0.47499707976544736
5,0.47397218050870343
6,0.47355633125346
7,0.45375029146505413
8,0.4367728475960301
9,0.44526883776617826
10,0.44459518430564016
11,0.4492373741466912
12,0.4446908271533519
13,0.42133055722662976
0,0.448086852083437
1,0.45921926063374857
2,0.4671465904675259
3,0.4982496103257684
4,0.47784266842569745
5,0.47256500258420236
6,0.46232768244603295
7,0.4591291361731385
8,0.4355764569767253
9,0.41920093584743384
10,0.43079345492376947
11,0.4315291739555013
12,0.44972439953263516
13,0.4021429381195664
0,0.47863080054825974
1,0.4699768082270249
2,0.4809803208877653
3,0.48734615499161144
4,0.47499707976544736
5,0.47397218050870343
6,0.47355633125346
7,0.45375029146505413
8,0.4367728475960301
9,0.44526883776617826
10,0.44459518430564016
11,0.4492373741466912
12,0.4446908271533519
13,0.42133055722662976
