,Cosine
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
11,0.44736221847592905
12,0.4437775216625033
13,0.42285403136770455
0,0.446023774626504
1,0.4565138529987642
2,0.46378051672252063
3,0.4937375620939342
4,0.4723418379702033
5,0.4656520474627527
6,0.4554857318040593
7,0.45193737520504135
8,0.4293612970842791
9,0.41237042555845027
10,0.42398072335745585
11,0.42448190019150805
12,0.44302944076913864
13,0.39512288156224606
0,0.477711033797369
1,0.4689524343337265
2,0.47894367023402185
3,0.48476289647098686
4,0.47190432305285535
5,0.47046264446513775
6,0.46986221138473555
7,0.45267331800673544
8,0.4350573973750361
9,0.44444696616037055
10,0.4424616183297309
